Season_1,Season_2,Season_3,Season_4
6.2,21.0,26.6,7.65
8.15,21.65,27.1,9.05
8.45,21.45,28.2,9.3
8.3,21.85,26.8,10.2
6.35,21.75,26.05,8.4
8.75,22.55,27.75,7.0
8.6,20.35,27.0,7.05
8.05,21.85,28.0,8.05
7.45,22.5,27.05,5.5
6.4,21.5,27.6,6.2
9.35,22.1,26.5,8.0
8.8,20.85,27.05,8.3
7.65,21.95,27.4,8.7
9.0,20.4,23.9,7.25
10.35,20.3,26.1,6.7
7.4,19.75,23.65,7.0
9.15,21.2,24.8,9.05
8.85,20.4,24.8,9.65
8.9,20.85,23.8,9.25
9.2,19.95,23.7,8.15
10.2,20.55,23.8,6.85
10.4,19.65,23.65,6.95
7.7,19.6,24.0,7.9
8.35,20.85,22.9,7.35
8.05,19.5,24.2,7.3
9.45,19.9,23.8,9.35
10.35,19.6,24.05,7.0
7.05,20.3,23.5,11.6
11.15,22.85,27.1,9.85
12.85,22.0,29.65,8.55
10.15,21.65,28.3,9.1
10.6,22.3,27.75,11.3
12.0,22.5,28.8,12.0
11.9,22.6,26.55,11.25
11.1,22.15,25.05,10.95
12.9,22.95,27.3,8.95
12.45,21.15,26.85,8.8
10.05,21.6,26.85,10.2
10.5,23.65,26.6,9.25
9.5,21.8,27.95,9.1
12.1,22.35,26.25,11.8
13.95,21.6,26.7,9.4
10.2,22.4,26.8,10.6
-0.25,14.9,21.95,-1.55
0.5,16.05,23.25,-1.2
-0.05,13.5,20.8,-1.25
-1.65,15.05,22.0,0.95
-0.3,15.6,22.45,-0.2
0.55,13.9,21.75,1.15
-0.75,14.15,21.15,-2.95
-0.8,16.2,22.25,0.2
0.2,15.7,22.4,0.75
0.8,17.2,23.4,-0.25
-1.5,14.9,22.3,-1.7
-2.0,14.4,21.45,-3.6
0.0,15.4,20.8,-0.1
-0.95,14.4,21.85,1.25
0.05,15.45,22.8,0.3
12.6,22.0,28.75,14.45
12.65,23.35,29.15,12.05
12.05,21.2,27.7,13.55
13.8,22.85,28.9,16.1
12.0,22.3,29.8,14.5
13.8,22.8,28.2,15.6
12.2,23.45,28.55,13.5
13.6,22.6,28.55,12.8
13.4,20.55,27.9,12.65
12.2,23.45,29.55,12.05
11.35,22.75,28.6,12.8
11.45,21.6,28.3,13.2
11.75,22.5,28.05,13.9
14.2,21.55,28.7,13.25
12.3,23.05,29.15,13.7
14.85,24.75,28.35,16.5
15.9,25.8,28.15,14.15
14.7,24.2,27.7,15.75
16.1,26.3,28.3,17.95
14.7,25.25,28.6,16.95
16.15,24.65,28.45,17.35
16.35,24.95,28.05,16.7
16.7,26.05,28.85,15.1
16.75,24.45,28.6,13.75
14.0,25.85,29.0,14.65
13.85,25.45,28.15,14.65
14.45,24.55,27.95,15.2
14.95,26.0,28.75,16.95
18.1,25.2,28.4,15.8
16.0,25.1,28.85,16.55
8.35,19.3,22.85,6.85
10.25,19.95,24.35,7.15
8.0,18.1,22.8,6.65
8.3,19.7,22.35,10.55
10.2,19.4,22.85,10.35
9.75,19.6,22.95,9.8
8.8,19.7,22.05,8.4
11.4,20.7,24.0,7.6
10.55,18.3,23.2,6.25
7.55,19.65,24.2,7.3
7.75,20.1,23.3,7.0
7.25,18.95,23.35,7.25
10.15,19.7,22.4,10.65
13.1,19.5,22.4,8.5
7.5,19.35,22.9,10.25
-12.2,10.45,19.85,-13.9
-8.5,15.1,19.1,-12.2
-10.0,12.25,19.1,-17.2
-13.8,11.65,18.2,-16.6
-11.3,14.4,18.8,-14.5
-9.9,12.65,18.05,-11.5
-12.15,12.95,17.6,-14.35
-11.7,13.9,18.05,-11.35
-10.6,15.25,18.9,-12.45
-8.1,11.75,18.6,-14.8
-13.65,12.7,17.8,-13.85
-13.25,13.0,17.3,-16.6
-11.7,12.95,17.6,-12.3
-13.65,13.1,17.3,-13.85
-10.3,13.75,18.05,-13.6
18.55,26.65,29.05,19.85
21.3,28.2,28.75,18.6
19.35,27.1,28.05,19.0
18.9,29.25,28.8,21.0
20.95,27.4,28.85,21.05
22.55,26.9,28.8,20.25
22.1,27.4,28.75,21.35
21.8,27.75,28.65,18.5
21.7,26.65,28.9,17.8
18.3,27.8,29.6,18.25
17.95,27.8,28.55,19.1
18.45,25.85,28.45,19.6
19.55,27.9,28.35,20.85
23.4,27.5,29.25,18.8
20.4,26.65,29.5,18.95
-18.45,8.5,16.05,-21.55
-18.0,10.55,14.55,-18.15
-16.1,7.85,15.35,-24.6
-20.1,8.2,14.25,-21.95
-18.45,9.95,14.35,-20.75
-18.3,10.3,15.1,-21.6
-19.2,9.3,15.45,-23.3
-18.55,10.6,15.25,-18.6
-17.45,12.15,14.55,-19.85
-15.75,8.1,14.75,-21.55
-21.4,8.75,14.55,-20.35
-18.25,10.1,14.8,-20.2
-15.0,10.6,14.35,-18.75
-17.85,9.45,15.1,-20.2
-18.75,10.65,15.35,-20.35
-2.2,19.5,23.3,-6.8
-0.9,17.45,23.45,-7.5
-3.85,18.25,21.4,-7.7
-4.95,18.25,24.4,-4.85
-4.5,19.85,22.9,-3.8
-3.35,18.6,21.9,-3.95
-2.05,18.6,23.25,-4.05
0.1,20.4,22.8,-4.35
0.15,19.3,22.65,-4.55
0.25,17.75,22.65,-5.45
-1.85,17.65,22.1,-6.5
-2.55,19.6,21.35,-3.8
-0.75,18.2,23.6,-3.05
-2.95,19.15,23.6,-6.5
-1.9,18.6,23.6,-4.25
7.7,20.3,25.5,6.85
8.15,19.85,28.05,6.5
6.45,19.6,26.9,7.2
7.15,20.2,27.55,9.2
6.75,20.45,27.85,8.3
8.35,21.05,26.7,8.7
6.0,20.45,25.65,6.55
7.35,20.85,26.05,6.4
7.55,19.55,25.5,6.45
7.1,19.65,27.45,6.25
6.45,20.2,26.9,5.7
5.45,20.15,27.5,5.2
7.55,20.2,26.05,7.85
7.7,19.15,26.35,7.2
6.75,20.65,27.85,8.0
6.8,19.7,23.65,6.2
7.9,18.95,25.6,4.0
5.15,18.65,23.25,5.15
7.6,20.45,24.05,6.05
5.75,19.3,24.25,6.2
6.85,20.45,22.95,6.45
5.7,18.75,22.4,5.2
7.7,20.2,23.25,3.7
6.6,19.2,22.35,4.6
6.4,18.35,22.8,4.8
6.6,19.65,22.85,5.2
5.45,18.4,23.4,4.9
6.55,18.75,23.25,5.8
7.05,17.7,23.4,3.9
4.8,20.0,23.15,5.1
-6.3,13.95,17.5,-8.85
-4.05,14.85,19.65,-7.15
-6.5,13.1,17.5,-8.25
-6.1,13.8,17.75,-6.05
-5.0,14.2,18.55,-5.7
-4.6,13.05,16.0,-7.25
-6.3,13.5,18.15,-7.7
-3.75,15.75,18.5,-7.65
-3.9,14.3,17.8,-9.45
-4.75,14.15,19.35,-8.3
-6.85,13.6,17.55,-9.25
-6.4,14.95,17.4,-9.4
-4.95,14.1,18.2,-6.3
-5.4,14.95,19.8,-7.6
-6.4,14.0,18.45,-5.8
3.75,21.0,25.15,2.25
5.85,22.15,25.45,1.95
4.0,19.75,24.1,2.55
4.6,22.25,25.05,4.2
5.05,22.4,24.4,3.7
5.4,19.75,23.6,3.35
3.35,20.1,24.0,1.6
4.75,21.85,25.2,2.6
5.15,21.1,24.05,2.25
5.05,22.65,25.8,3.0
3.25,20.4,23.9,0.75
3.15,21.65,24.1,1.15
5.2,22.0,25.35,3.0
4.5,20.4,25.5,3.6
4.45,22.55,24.3,2.65
-3.45,15.5,18.4,-6.9
-2.3,13.75,19.25,-5.95
-3.9,13.75,17.4,-6.05
-3.9,13.85,20.25,-4.75
-4.3,16.2,18.7,-1.9
-3.2,14.75,17.1,-4.95
-3.6,14.65,18.9,-4.4
-1.8,15.6,18.75,-7.45
-1.05,14.15,18.85,-5.35
-3.8,13.9,18.35,-6.25
-3.45,13.95,17.9,-7.55
-4.3,15.55,17.95,-5.7
-2.2,13.9,18.25,-3.35
-1.65,14.2,19.2,-4.2
-4.15,14.45,19.25,-5.05
9.65,16.05,18.85,10.25
11.8,17.2,18.8,8.05
10.15,16.3,18.9,9.25
10.7,17.55,18.8,9.2
11.25,15.65,18.95,10.35
10.9,17.45,19.65,10.3
11.4,17.2,19.45,11.2
11.4,16.3,20.25,9.1
11.9,16.85,19.95,7.75
8.95,17.55,19.75,9.9
11.6,18.05,18.85,10.7
10.55,16.95,19.6,10.3
11.05,17.5,18.65,10.8
11.9,18.6,19.4,10.5
12.1,17.85,19.2,9.65
-0.7,17.05,20.6,-1.35
1.1,16.25,20.85,-3.2
-0.9,15.5,19.15,-3.15
0.15,15.9,20.25,-1.6
-1.0,16.75,19.05,1.4
0.9,16.95,18.45,-1.85
0.45,16.1,20.15,-1.55
2.45,17.05,21.0,-2.25
2.0,16.55,20.6,-2.3
-0.55,15.55,19.7,-2.6
0.2,16.4,19.3,-1.05
0.05,15.9,19.65,-1.1
0.7,15.5,19.45,0.95
2.35,16.15,20.65,-2.1
-0.3,17.0,21.15,-1.3
0.3,11.75,14.45,0.1
1.75,12.6,15.2,0.2
0.9,11.35,14.15,1.55
2.2,10.7,14.6,0.2
-0.1,11.2,14.85,-0.4
0.8,12.65,13.9,0.25
0.7,11.75,15.25,1.3
0.7,11.85,14.7,-2.55
0.75,12.05,15.15,-0.15
0.35,12.65,16.3,1.15
2.2,12.7,13.95,2.05
3.25,12.5,14.9,1.0
1.8,13.25,15.7,1.3
1.05,13.05,15.75,1.6
2.65,13.25,15.45,1.75
12.05,23.95,27.75,13.55
14.0,24.85,28.45,10.3
11.65,22.95,27.55,13.1
12.95,24.85,27.35,14.6
13.65,23.6,28.3,14.2
13.85,24.4,28.65,15.4
12.3,24.45,27.95,13.6
14.0,25.55,29.15,12.65
13.95,23.65,28.45,11.15
12.35,25.25,29.15,11.9
11.35,25.0,28.5,11.15
10.85,24.8,29.1,12.55
14.5,24.85,29.0,15.55
16.4,24.6,28.2,13.4
11.45,25.0,28.9,15.9
-10.0,10.2,18.75,-13.4
-8.25,13.35,18.15,-12.65
-9.6,11.15,18.55,-16.2
-13.5,11.9,18.15,-15.6
-11.35,14.25,18.5,-12.9
-10.15,12.5,17.85,-11.95
-12.05,12.8,17.4,-13.9
-11.15,12.75,18.5,-10.05
-8.55,14.95,18.35,-12.45
-7.5,11.3,19.45,-13.55
-11.6,12.5,17.55,-12.3
-10.95,13.15,18.1,-13.45
-10.15,12.15,17.35,-11.95
-11.9,12.85,17.3,-12.0
-8.4,13.0,19.35,-12.05
9.0,22.25,27.0,7.8
9.6,21.95,29.0,7.35
7.2,20.85,27.85,7.95
8.4,21.5,27.6,9.9
8.4,21.2,28.7,9.75
8.55,22.35,27.75,11.0
7.0,21.6,26.55,8.55
8.5,22.45,28.05,7.3
8.85,20.45,27.4,7.05
8.25,22.0,28.5,7.85
7.7,22.2,27.65,6.35
6.35,21.8,27.7,6.45
9.25,22.05,27.15,8.95
9.1,21.05,27.4,8.35
7.5,22.1,28.4,9.95
6.1,19.65,24.65,5.25
7.3,19.65,27.3,4.7
5.2,19.0,25.55,5.1
6.25,20.15,26.25,7.4
5.4,20.6,27.2,6.35
6.75,20.7,25.2,5.85
4.45,18.7,23.4,3.8
6.2,20.45,25.25,4.15
5.8,19.1,24.55,4.2
5.75,19.0,26.6,4.55
4.9,19.3,25.3,3.7
4.05,18.75,26.6,3.4
6.4,19.45,24.95,5.45
5.9,18.6,25.35,4.8
5.7,19.65,26.45,5.85
13.95,25.4,27.6,16.3
16.5,26.2,28.45,13.5
14.8,24.25,27.75,15.6
14.85,26.4,28.05,17.0
15.9,25.1,28.55,17.15
16.5,25.35,28.85,17.8
16.5,25.35,27.7,15.6
16.45,26.4,29.0,15.05
16.55,25.0,28.3,12.85
14.15,26.2,29.5,13.9
14.05,26.05,28.45,14.05
13.2,25.8,28.7,15.35
16.55,26.25,28.55,18.1
19.3,25.7,28.35,14.65
14.0,25.5,28.85,17.4
-17.45,9.45,18.25,-20.15
-12.9,12.15,15.15,-16.1
-12.75,8.5,15.55,-22.6
-18.45,9.55,15.3,-22.85
-18.6,11.65,15.05,-19.45
-15.55,10.6,15.8,-18.05
-17.85,9.95,15.85,-19.45
-14.4,10.75,15.15,-16.6
-13.75,13.05,16.85,-20.6
-15.5,9.25,16.0,-20.4
-17.5,11.5,15.9,-19.95
-16.3,11.0,15.5,-19.1
-14.15,11.35,15.5,-20.1
-19.5,11.45,15.25,-20.65
-15.65,12.6,16.45,-19.35
2.2,15.8,23.2,1.35
3.6,15.75,24.5,1.9
2.55,14.5,22.45,2.45
2.3,15.45,23.2,4.8
2.7,17.2,24.3,3.4
3.8,15.25,23.8,3.55
2.05,14.9,22.45,0.9
2.1,16.15,23.95,2.05
2.5,16.05,23.3,2.5
3.0,16.8,24.8,2.6
1.55,14.8,23.35,0.55
1.45,14.9,23.3,0.1
2.5,15.9,23.05,2.25
2.7,14.55,23.45,3.05
2.65,15.75,23.9,5.45
4.4,18.75,23.9,3.75
5.85,19.1,25.7,3.55
4.6,17.9,24.15,3.7
5.4,19.6,24.8,6.35
4.4,20.4,25.1,4.75
5.6,19.1,23.65,4.5
3.6,17.8,22.35,2.4
5.4,18.8,24.35,3.1
4.85,18.45,23.4,3.3
4.85,18.8,25.35,3.35
4.1,18.25,23.85,2.1
3.3,18.45,24.9,2.45
5.65,19.15,23.75,4.15
4.8,18.25,24.05,3.95
4.4,19.0,25.0,4.1
-12.65,11.35,19.9,-16.2
-9.45,14.3,18.45,-12.7
-10.3,11.05,18.65,-18.25
-14.1,11.1,17.7,-15.6
-11.7,13.4,18.3,-13.9
-10.5,12.55,18.35,-13.75
-12.05,12.35,18.0,-14.0
-9.85,13.95,18.4,-11.35
-10.0,15.1,18.75,-13.75
-8.35,10.65,18.25,-14.75
-13.3,13.0,18.35,-15.65
-12.1,13.05,17.95,-15.55
-10.95,12.65,17.95,-12.65
-12.4,12.6,18.05,-15.0
-11.0,14.0,18.7,-13.45
8.85,21.05,25.95,8.7
9.45,21.0,28.5,7.65
7.4,20.35,27.25,8.3
8.3,20.85,27.5,10.45
7.95,20.35,28.1,9.0
9.15,21.85,27.75,10.6
7.5,21.45,26.7,8.15
8.35,21.8,26.95,6.85
8.65,19.75,26.6,6.65
8.15,21.0,27.95,6.75
6.9,21.65,27.2,6.6
6.55,21.1,27.5,6.0
8.45,21.65,27.0,8.8
8.55,20.2,26.65,7.25
7.55,21.15,28.2,8.7
6.85,18.5,24.9,6.8
7.3,18.7,27.65,6.3
5.45,18.35,25.55,6.45
6.95,19.15,26.75,9.1
5.85,19.4,27.2,7.35
7.5,19.7,25.5,8.75
5.5,19.0,24.85,5.55
7.0,19.75,25.8,5.8
6.75,18.4,25.15,6.05
6.9,18.5,26.75,5.8
6.0,18.8,26.5,5.9
5.35,18.75,27.2,5.0
6.4,19.2,25.3,7.4
6.5,18.35,26.35,6.5
6.6,19.55,26.95,7.4
14.3,23.4,27.95,17.05
15.7,24.35,28.0,14.3
14.3,22.9,27.05,15.7
15.7,25.3,27.95,17.25
14.4,24.1,27.95,16.2
16.0,23.15,27.85,16.45
15.55,24.0,27.4,15.55
15.45,23.85,27.95,14.55
15.55,22.6,27.95,14.95
14.35,25.0,28.3,14.1
13.7,23.45,28.2,15.0
14.2,22.7,27.35,14.8
13.45,23.85,27.8,15.85
16.6,23.3,27.95,15.2
15.5,23.95,28.2,14.85
-4.55,14.3,21.3,-7.2
-3.8,16.85,21.35,-5.45
-4.35,13.9,19.55,-7.35
-6.15,15.55,20.8,-7.15
-4.9,16.35,21.25,-5.95
-2.25,14.6,19.35,-4.15
-5.1,15.15,19.75,-8.75
-5.75,17.45,20.9,-4.7
-4.3,16.45,20.55,-6.15
-2.9,16.45,21.95,-6.6
-6.6,15.5,20.8,-6.75
-6.7,15.7,20.25,-7.55
-4.3,15.7,19.8,-5.2
-5.4,15.65,20.9,-4.0
-3.4,16.2,22.05,-3.1
-0.45,17.05,19.2,-2.25
0.45,16.9,21.25,-2.8
-2.3,16.05,19.7,-1.8
-0.8,16.4,19.9,-0.9
0.35,17.3,19.55,-0.4
0.6,16.15,18.75,-2.4
-0.8,16.0,19.4,-2.9
1.4,16.7,20.1,-2.55
0.95,16.55,18.9,-2.9
-1.2,16.15,20.9,-2.75
-1.75,16.1,19.7,-3.65
-0.85,16.85,20.1,-3.8
0.05,16.25,19.85,-0.3
0.35,16.0,20.45,-3.15
-1.2,16.4,19.65,-2.55
10.1,17.0,19.35,10.05
11.8,17.25,20.55,8.55
10.35,16.0,19.9,9.6
11.6,16.7,20.1,10.85
11.15,16.9,21.0,10.35
10.85,18.2,20.65,10.85
10.75,17.55,20.7,10.5
11.05,16.65,20.45,10.8
10.9,17.4,20.55,8.3
9.2,17.0,20.2,9.95
11.85,17.1,19.65,10.2
10.85,16.9,20.5,10.8
11.5,17.75,20.05,10.4
10.8,17.95,20.45,11.5
11.8,17.1,19.75,11.25
1.65,19.4,22.8,-0.55
3.35,20.1,24.4,-0.15
1.3,18.1,22.5,-0.05
1.85,19.1,24.0,1.15
2.05,20.05,23.7,0.45
1.85,17.4,22.85,0.1
1.05,18.7,23.4,-0.95
2.8,20.35,24.4,0.9
2.5,19.9,23.45,-0.35
3.1,20.7,25.45,0.9
0.75,16.5,24.0,-1.05
0.75,19.5,23.1,-1.25
2.05,20.05,23.4,0.65
1.95,18.65,24.6,0.05
1.5,19.95,23.8,0.75
2.1,17.4,21.55,1.1
3.5,16.5,21.6,-0.4
1.45,15.75,19.85,0.65
3.65,17.4,20.75,1.1
2.0,17.4,19.65,3.4
3.45,18.3,19.65,2.05
1.95,16.25,19.45,0.9
4.3,16.85,20.75,-0.15
3.15,16.85,21.35,0.2
1.65,15.5,20.45,0.35
3.05,16.2,19.75,0.4
1.9,15.95,20.4,1.1
2.8,16.45,20.05,4.05
3.9,15.7,21.05,0.55
1.25,17.2,20.7,1.1
9.8,19.9,26.55,11.15
10.55,20.6,28.0,9.05
8.55,19.55,26.3,10.2
10.15,20.9,27.3,13.7
9.45,20.45,27.35,11.85
11.0,21.1,27.25,13.0
8.65,20.75,26.75,10.45
10.15,21.1,26.9,9.9
9.95,19.25,26.25,9.8
9.55,20.7,27.4,9.35
8.45,21.3,27.35,9.5
8.7,20.05,27.55,9.9
9.8,20.95,26.7,11.9
10.4,19.7,26.8,10.3
9.3,20.7,28.1,11.4
7.4,21.8,25.9,6.55
8.7,21.3,27.55,5.0
5.9,20.15,25.9,6.15
7.25,21.45,26.35,7.7
7.35,20.65,27.35,8.4
7.5,21.3,25.65,8.05
5.3,20.25,24.15,6.35
7.75,21.9,26.3,5.85
7.15,20.05,25.6,5.95
7.05,20.55,26.8,6.95
6.55,21.4,26.25,4.75
5.45,21.25,26.65,5.45
8.3,21.3,25.65,6.8
7.55,20.05,26.4,7.1
6.45,21.4,27.05,7.6
-7.9,19.95,23.65,-12.6
-3.55,17.35,23.2,-10.75
-7.45,14.95,20.2,-12.2
-9.85,17.5,21.25,-9.3
-7.95,17.5,21.45,-6.5
-7.85,14.65,19.95,-9.8
-10.6,15.25,21.4,-9.25
-5.25,17.75,20.35,-8.95
-4.3,16.95,20.3,-7.85
-3.2,15.45,20.3,-8.2
-7.65,14.5,20.45,-13.55
-10.0,15.8,20.1,-8.65
-6.7,14.7,21.6,-8.2
-7.3,13.85,20.9,-7.1
-9.6,15.9,21.3,-4.65
13.65,24.75,28.3,15.3
15.0,25.75,28.4,12.6
13.5,23.6,27.5,15.15
15.1,26.05,28.4,16.95
14.25,24.9,28.9,16.15
15.9,25.05,28.85,16.9
15.8,24.5,28.05,15.45
15.75,25.8,29.0,14.1
15.4,24.15,28.9,11.8
12.5,25.9,29.35,13.4
12.6,25.5,28.45,12.75
12.3,24.75,28.3,13.9
14.5,25.45,28.2,16.4
17.6,24.75,28.25,14.05
13.4,25.05,28.05,15.7
13.85,22.7,28.7,16.6
14.45,23.85,28.85,14.0
13.85,21.95,27.6,15.65
14.9,24.4,29.1,17.35
13.55,23.3,29.5,16.35
15.55,21.95,29.15,16.9
14.5,23.95,28.6,15.9
14.75,22.75,28.0,14.15
14.35,21.0,27.5,14.55
12.65,23.3,28.75,13.65
12.6,22.4,27.8,14.5
13.0,21.55,27.15,14.5
12.35,22.35,27.9,15.3
14.95,21.65,27.5,14.65
14.1,22.85,27.9,14.65
4.9,20.1,24.4,3.35
5.75,20.0,24.65,1.9
4.2,19.35,24.2,2.95
4.95,21.05,24.6,3.35
4.8,20.85,24.2,4.45
4.7,21.0,23.05,2.6
4.5,19.15,22.3,2.6
6.55,21.45,23.4,2.4
5.4,20.3,23.7,2.85
4.6,18.95,22.65,2.4
5.3,19.75,22.75,1.9
3.45,19.95,24.1,2.3
5.65,20.1,24.0,4.35
4.45,18.1,24.4,2.15
3.05,20.55,23.25,2.25
12.65,18.9,21.1,12.45
14.7,20.45,23.15,11.85
13.35,20.0,22.05,10.9
12.5,20.85,22.15,12.1
13.9,19.2,22.6,12.3
13.55,21.5,22.5,13.0
14.65,20.0,21.95,13.8
15.25,20.2,23.0,11.15
15.65,20.05,22.85,10.1
10.55,21.25,23.25,13.1
12.8,21.4,22.15,12.0
12.0,20.3,22.45,12.6
13.8,21.7,21.15,13.85
15.1,22.2,21.15,13.55
15.1,20.7,22.2,13.1
-3.55,13.05,15.9,-4.15
-2.1,11.8,17.7,-5.7
-3.9,11.5,15.25,-5.1
-2.8,11.95,16.9,-4.15
-3.55,12.5,16.0,-0.6
-1.8,12.9,15.0,-3.5
-1.85,12.2,16.25,-3.8
-0.85,13.0,16.7,-4.25
-0.75,11.9,16.5,-5.05
-3.35,11.35,15.95,-4.7
-3.15,12.5,15.95,-3.1
-2.4,11.75,15.6,-3.5
-2.3,11.25,15.45,-1.7
-0.05,11.95,15.8,-2.25
-2.8,12.75,16.8,-1.65
4.15,20.3,24.15,3.4
6.2,20.55,25.4,2.35
4.55,18.8,24.0,3.2
5.05,21.0,24.7,5.1
4.75,21.6,24.75,4.4
5.9,19.95,23.75,3.55
3.75,19.0,23.05,1.95
5.3,19.95,24.75,2.3
4.9,19.6,23.05,2.95
4.55,20.15,25.2,2.95
3.95,19.15,23.85,1.75
3.7,19.85,24.4,2.2
5.8,20.55,23.75,3.8
4.45,19.35,24.45,3.7
4.4,20.4,25.05,3.7
2.3,16.15,23.0,1.15
3.2,17.9,24.35,1.75
2.6,15.5,22.2,1.7
2.45,17.8,23.8,4.05
2.05,18.0,23.75,3.0
4.1,16.1,23.25,3.5
2.05,16.8,22.4,0.0
2.5,18.55,24.3,2.15
3.35,17.55,23.55,2.3
2.9,19.15,24.25,2.6
1.35,17.45,23.25,1.0
0.9,16.45,23.55,-0.5
2.7,17.5,22.85,2.25
2.25,16.45,23.35,3.4
2.15,17.8,23.3,3.15
-6.6,18.25,20.25,-7.45
-1.2,16.45,20.4,-6.55
-2.7,15.6,20.1,-8.2
-5.55,17.65,20.75,-5.4
-4.75,18.0,20.35,0.55
-2.65,16.6,19.65,-0.45
-4.45,16.75,20.5,1.3
0.8,17.75,20.2,-4.5
-1.5,16.75,19.25,-3.8
0.5,16.35,21.0,-3.45
-4.3,17.0,21.1,-10.7
-6.55,17.5,19.55,-5.5
-3.45,16.45,20.95,-3.25
-0.15,15.5,21.3,-1.2
-4.65,17.9,20.8,0.5
8.6,22.7,26.35,7.4
9.65,21.65,27.6,6.15
7.65,20.75,25.9,7.45
8.75,22.55,26.85,8.85
8.85,21.65,27.2,9.8
8.9,22.2,25.45,8.6
6.85,20.65,24.7,8.4
9.1,22.25,26.4,7.35
8.15,20.65,24.85,7.6
8.5,20.7,26.5,8.2
7.95,21.9,25.75,5.8
6.95,21.5,26.2,7.25
9.55,21.65,26.05,7.9
9.05,20.15,26.05,8.85
7.75,21.5,27.5,7.9
-2.15,15.7,19.65,-4.0
-2.25,15.75,21.25,-3.95
-2.85,14.95,19.8,-4.15
-2.25,14.7,20.75,-2.45
-2.4,16.15,19.9,-0.8
-0.65,16.2,18.35,-3.7
-3.0,15.55,20.05,-3.15
0.6,16.4,21.05,-4.2
-2.5,15.3,19.75,-4.75
-2.7,15.25,19.25,-5.45
-2.75,15.3,19.25,-5.15
-2.1,14.9,19.05,-2.05
-0.55,16.25,20.4,-4.15
-2.8,15.6,19.9,-4.1
12.7,23.0,27.95,13.8
13.3,24.0,28.45,10.95
11.4,22.2,27.1,12.1
14.35,23.5,28.05,14.4
12.0,23.3,28.8,13.1
13.2,23.45,28.45,14.1
13.65,24.3,27.5,12.15
12.95,23.9,28.7,10.75
13.8,21.65,27.5,9.1
11.6,24.55,29.05,9.7
11.45,23.8,28.2,11.15
11.55,22.6,27.9,10.45
11.55,24.45,27.35,13.6
14.4,23.65,27.55,11.05
12.6,23.1,29.15,11.65
-3.2,15.75,19.6,-5.75
-2.05,16.05,21.25,-5.95
-5.0,15.1,19.6,-5.9
-3.45,15.8,20.25,-3.5
-3.75,15.75,19.2,-2.55
-2.0,15.85,18.0,-4.5
-4.5,15.2,19.0,-5.55
-1.3,15.9,19.6,-5.25
-2.1,15.7,19.25,-6.35
-3.35,15.25,19.75,-6.3
-4.55,15.25,19.3,-7.0
-4.3,15.5,19.6,-7.1
-3.25,14.7,18.75,-3.0
